ply,player,role,fen_before,move,fallback
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b4,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,False
2,Stockfish-Strong,white,rnbqkbnr/pppp1ppp/8/4p3/1P6/8/P1PPPPPP/RNBQKBNR w KQkq - 0 2,c2c3,True
1,Stockfish-Strong,black,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c5,True
3,Stockfish-Weak,black,rnbqkbnr/pppp1ppp/8/4p3/1P6/2P5/P2PPPPP/RNBQKBNR b KQkq - 0 2,g8f6,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,True
2,Stockfish-Strong,white,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,False
4,Stockfish-Strong,white,rnbqkb1r/pppp1ppp/5n2/4p3/1P6/2P5/P2PPPPP/RNBQKBNR w KQkq - 1 3,d1a4,True
1,Stockfish-Mid,black,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,b8c6,True
0,Stockfish-Weak,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,g2g3,False
5,Stockfish-Weak,black,rnbqkb1r/pppp1ppp/5n2/4p3/QP6/2P5/P2PPPPP/RNB1KBNR b KQkq - 2 3,c7c6,False
3,Stockfish-Strong,black,rnbqkbnr/pp1ppppp/8/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d6,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,h2h4,True
2,Stockfish-GM,white,r1bqkbnr/pppppppp/2n5/8/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 2 2,f2f3,True
1,Stockfish-GM,black,rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,h7h6,True
4,Stockfish-Strong,white,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,f1b5,True
6,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p2n2/4p3/QP6/2P5/P2PPPPP/RNB1KBNR w KQkq - 0 4,e2e4,True
1,Stockfish-Mid,black,rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq - 0 1,a7a5,True
2,Stockfish-Weak,white,rnbqkbnr/ppppppp1/7p/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,h2h3,False
3,Stockfish-Mid,black,r1bqkbnr/pppppppp/2n5/8/8/2N2P2/PPPPP1PP/R1BQKBNR b KQkq - 0 2,e7e5,False
0,Stockfish-Strong,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d3,True
7,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p2n2/4p3/QP2P3/2P5/P2P1PPP/RNB1KBNR b KQkq - 0 4,f6e4,False
5,Stockfish-Strong,black,rnbqkbnr/pp2pppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,c8d7,False
2,Stockfish-GM,white,rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,e2e4,True
3,Stockfish-GM,black,rnbqkbnr/ppppppp1/7p/8/8/6PP/PPPPPP2/RNBQKBNR b KQkq - 0 2,f7f5,True
4,Stockfish-GM,white,r1bqkbnr/pppp1ppp/2n5/4p3/8/2N2P2/PPPPP1PP/R1BQKBNR w KQkq - 0 3,g2g4,True
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq - 0 1,g7g6,True
8,Stockfish-Strong,white,rnbqkb1r/pp1p1ppp/2p5/4p3/QP2n3/2P5/P2P1PPP/RNB1KBNR w KQkq - 0 5,g2g3,True
6,Stockfish-Strong,white,rn1qkbnr/pp1bpppp/3p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 2 4,b2b4,True
3,Stockfish-Mid,black,rnbqkbnr/1ppppppp/8/p7/4P2P/8/PPPP1PP1/RNBQKBNR b KQkq - 0 2,g7g6,True
5,Stockfish-Mid,black,r1bqkbnr/pppp1ppp/2n5/4p3/6P1/2N2P2/PPPPP2P/R1BQKBNR b KQkq - 0 3,d7d5,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b2b3,True
4,Stockfish-Weak,white,rnbqkbnr/ppppp1p1/7p/5p2/8/6PP/PPPPPP2/RNBQKBNR w KQkq - 0 3,g3g4,False
2,Stockfish-Strong,white,rnbqkbnr/pppppp1p/6p1/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,a2a4,True
9,Stockfish-Weak,black,rnbqkb1r/pp1p1ppp/2p5/4p3/QP2n3/2P3P1/P2P1P1P/RNB1KBNR b KQkq - 0 5,d8f6,False
7,Stockfish-Strong,black,rn1qkbnr/pp1bpppp/3p4/1Bp5/1P2P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 4,a7a6,True
4,Stockfish-GM,white,rnbqkbnr/1ppppp1p/6p1/p7/4P2P/8/PPPP1PP1/RNBQKBNR w KQkq - 0 3,h4h5,False
1,Stockfish-Weak,black,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,e7e5,False
6,Stockfish-GM,white,r1bqkbnr/ppp2ppp/2n5/3pp3/6P1/2N2P2/PPPPP2P/R1BQKBNR w KQkq - 0 4,c3d5,True
5,Stockfish-GM,black,rnbqkbnr/ppppp1p1/7p/5p2/6P1/7P/PPPPPP2/RNBQKBNR b KQkq - 0 3,e7e5,True
3,Stockfish-Weak,black,rnbqkbnr/pppppp1p/6p1/8/P7/3P4/1PP1PPPP/RNBQKBNR b KQkq - 0 2,d7d5,False
10,Stockfish-Strong,white,rnb1kb1r/pp1p1ppp/2p2q2/4p3/QP2n3/2P3P1/P2P1P1P/RNB1KBNR w KQkq - 1 6,a4d1,True
5,Stockfish-Mid,black,rnbqkbnr/1ppppp1p/6p1/p6P/4P3/8/PPPP1PP1/RNBQKBNR b KQkq - 0 3,e7e6,False
8,Stockfish-Strong,white,rn1qkbnr/1p1bpppp/p2p4/1Bp5/1P2P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,b5d7,False
7,Stockfish-Mid,black,r1bqkbnr/ppp2ppp/2n5/3Np3/6P1/5P2/PPPPP2P/R1BQKBNR b KQkq - 0 4,h7h6,False
2,Stockfish-GM,white,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,h2h4,True
6,Stockfish-Weak,white,rnbqkbnr/pppp2p1/7p/4pp2/6P1/7P/PPPPPP2/RNBQKBNR w KQkq - 0 4,d2d4,False
11,Stockfish-Weak,black,rnb1kb1r/pp1p1ppp/2p2q2/4p3/1P2n3/2P3P1/P2P1P1P/RNBQKBNR b KQkq - 2 6,f6d8,False
4,Stockfish-Strong,white,rnbqkbnr/ppp1pp1p/6p1/3p4/P7/3P4/1PP1PPPP/RNBQKBNR w KQkq - 0 3,a1a3,True
6,Stockfish-GM,white,rnbqkbnr/1ppp1p1p/4p1p1/p6P/4P3/8/PPPP1PP1/RNBQKBNR w KQkq - 0 4,g2g3,True
9,Stockfish-Strong,black,rn1qkbnr/1p1Bpppp/p2p4/2p5/1P2P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 5,e8d7,True
8,Stockfish-GM,white,r1bqkbnr/ppp2pp1/2n4p/3Np3/6P1/5P2/PPPPP2P/R1BQKBNR w KQkq - 0 5,e2e4,False
0,Stockfish-GM,white,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,a2a4,True
