temperature,opponent,wins,losses,draws,win_rate
0.5,stockfish-weak,92,0,8,96.0
0.5,stockfish-mid,96,0,4,98.0
0.5,stockfish-strong,88,0,12,94.0
0.5,stockfish-gm,91,0,9,95.5
0.5,OVERALL,367,0,33,479.375
0.55,stockfish-weak,91,0,9,95.5
0.55,stockfish-mid,93,0,7,96.5
0.55,stockfish-strong,90,0,10,95.0
0.55,stockfish-gm,97,0,3,98.5
0.55,OVERALL,371,0,29,481.87499999999994
0.6,stockfish-weak,86,0,14,93.0
0.6,stockfish-mid,95,0,5,97.5
0.6,stockfish-strong,87,0,13,93.5
0.6,stockfish-gm,90,0,10,95.0
0.6,OVERALL,358,0,42,473.75
0.65,stockfish-weak,92,0,8,96.0
0.65,stockfish-mid,94,0,6,97.0
0.65,stockfish-strong,96,0,4,98.0
0.65,stockfish-gm,90,0,10,95.0
0.65,OVERALL,372,0,28,482.5
0.7,stockfish-weak,96,0,4,98.0
0.7,stockfish-mid,88,0,12,94.0
0.7,stockfish-strong,88,0,12,94.0
0.7,stockfish-gm,94,0,6,97.0
0.7,OVERALL,366,0,34,478.74999999999994
0.75,stockfish-weak,92,0,8,96.0
0.75,stockfish-mid,86,0,14,93.0
0.75,stockfish-strong,89,0,11,94.5
0.75,stockfish-gm,92,0,8,96.0
0.75,OVERALL,359,0,41,474.37500000000006
0.8,stockfish-weak,92,0,8,96.0
0.8,stockfish-mid,94,0,6,97.0
0.8,stockfish-strong,90,0,10,95.0
0.8,stockfish-gm,91,0,9,95.5
0.8,OVERALL,367,0,33,479.375
